mean,std,min,max,missing_ratio,negative_ratio,flatline_ratio,saturation_ratio,spike_ratio,physiological_ratio,record,window,start_min,end_min,status,failure_reason
0.10865085182211985,0.162834182108267,-0.5119076704710713,0.9540097495142694,0.0,0.2368,0.0398,0.0,0.0,0.0,charis1,1,0.0,5.0,FAIL,Negative pressure values
0.1213213422839614,0.15919773797175815,-0.4770048747571347,0.6864216490407548,0.0,0.1982,0.0484,0.0,0.0,0.0,charis1,2,5.0,10.0,FAIL,Negative pressure values
0.13602317545635406,0.16248187136049125,-0.3839307528533035,0.6864216490407548,0.0,0.1654,0.06453333333333333,0.0,0.0,0.0,charis1,3,10.0,15.0,FAIL,Negative pressure values
0.14678099271307188,0.16450355255139484,-0.4304678138052191,0.6747873838027759,0.0,0.1438,0.0702,0.0,0.0,0.0,charis1,4,15.0,20.0,FAIL,Negative pressure values
0.15272067292590136,0.16676711321839993,-0.44210207904319804,0.8027643014205438,0.0,0.1358,0.04053333333333333,0.0,0.0,0.0,charis1,5,20.0,25.0,FAIL,Negative pressure values
0.1544223781213764,0.16900695559800843,-0.3839307528533035,0.7096901795167126,0.0,0.13366666666666666,0.038,0.0,0.0,0.0,charis1,6,25.0,30.0,FAIL,Negative pressure values
0.15454027200912127,0.16623040360777247,-0.4653706095191558,0.8493013623724593,0.0,0.12093333333333334,0.036,0.0,0.0,0.0,charis1,7,30.0,35.0,FAIL,Negative pressure values
0.15247868020895142,0.16247132229202285,-0.36066222237734574,0.6864216490407548,0.0,0.1152,0.03166666666666667,0.0,0.0,0.0,charis1,8,35.0,40.0,FAIL,Negative pressure values
0.13561442493765974,0.14418582849086276,-0.36066222237734574,0.7213244447546915,0.0,0.1146,0.032933333333333335,0.0,0.0,0.0,charis1,9,40.0,45.0,FAIL,Negative pressure values
0.15968494409735554,0.16375508114431522,-0.36066222237734574,0.7096901795167126,0.0,0.09706666666666666,0.033,0.0,0.0,0.0,charis1,10,45.0,50.0,FAIL,Out of physiological range
83.52630394963626,24.98487087951658,54.30152126591279,158.0395067580632,0.0,0.0,0.0007333333333333333,0.0,0.0,1.0,charis2,1,0.0,5.0,PASS,All criteria met
84.63121162790215,24.567923388597414,54.71317993850069,156.55504063570078,0.0,0.0,0.0009333333333333333,0.0,0.0,1.0,charis2,2,5.0,10.0,PASS,All criteria met
80.65579388790826,23.75758238201595,36.15111615635545,183.92410511018107,0.0,0.0,0.001,0.0,0.0,0.9995333333333334,charis2,3,10.0,15.0,PASS,All criteria met
79.70433094030741,23.300663818357354,51.38248704210769,144.4048725417428,0.0,0.0,0.0006666666666666666,0.0,0.0,1.0,charis2,4,15.0,20.0,PASS,All criteria met
78.99144955829857,23.263814371227724,51.27021649503827,144.50466858358232,0.0,0.0,0.0010666666666666667,0.0,0.0,1.0,charis2,5,20.0,25.0,PASS,All criteria met
78.50700464259502,23.12343614905976,50.758761780610875,143.96826485869505,0.0,0.0,0.0008,0.0,0.0,1.0,charis2,6,25.0,30.0,PASS,All criteria met
78.21842941820988,23.065950610801366,51.23279297934846,144.08053540576446,0.0,0.0,0.0006,0.0,0.0,1.0,charis2,7,30.0,35.0,PASS,All criteria met
77.7220688551107,22.89086126349063,50.459373655092406,143.00772795598994,0.0,0.0,0.0008666666666666666,0.0,0.0,1.0,charis2,8,35.0,40.0,PASS,All criteria met
75.89979728929002,22.481970865936656,49.374091700087945,138.91609024057084,0.0,0.0,0.0006,0.0,0.0,1.0,charis2,9,40.0,45.0,PASS,All criteria met
78.23531989829121,22.9643326699682,51.32011451595801,144.26765298421353,0.0,0.0,0.0008666666666666666,0.0,0.0,1.0,charis2,10,45.0,50.0,PASS,All criteria met
75.8474005682172,27.248142344761938,36.615397639981374,148.3166379072078,0.0,0.0,0.0015333333333333334,0.0,0.0,0.9976666666666667,charis3,1,0.0,5.0,PASS,All criteria met
