case_id,status,reason_if_failed
1,success,
2,failed,insufficient_duration
3,success,
4,success,
5,failed,insufficient_duration
6,failed,insufficient_duration
7,success,
8,failed,insufficient_duration
9,failed,insufficient_duration
10,success,
11,failed,insufficient_duration
12,failed,too_much_missing_data
13,success,
14,success,
15,failed,insufficient_duration
16,success,
17,success,
18,failed,insufficient_duration
19,success,
20,success,
21,failed,insufficient_duration
22,success,
23,failed,insufficient_duration
24,success,
25,success,
26,success,
27,success,
28,success,
29,success,
30,failed,insufficient_duration
31,success,
32,success,
33,failed,insufficient_duration
34,success,
35,failed,insufficient_duration
36,failed,insufficient_duration
37,failed,insufficient_duration
38,success,
39,failed,insufficient_duration
40,failed,insufficient_duration
41,failed,insufficient_duration
42,failed,insufficient_duration
43,success,
44,success,
45,failed,insufficient_duration
46,success,
47,failed,insufficient_duration
48,failed,insufficient_duration
49,success,
50,success,
51,success,
52,success,
53,success,
54,failed,insufficient_duration
55,success,
56,failed,insufficient_duration
57,failed,insufficient_duration
58,success,
59,success,
60,success,
61,success,
62,failed,insufficient_duration
63,failed,insufficient_duration
64,success,
65,success,
66,success,
67,success,
68,success,
69,success,
70,success,
71,failed,insufficient_duration
72,failed,insufficient_duration
73,failed,insufficient_duration
74,success,
75,success,
76,failed,insufficient_duration
77,success,
78,failed,insufficient_duration
79,success,
80,failed,insufficient_duration
81,failed,insufficient_duration
82,failed,insufficient_duration
83,success,
84,success,
85,failed,insufficient_duration
86,failed,insufficient_duration
87,success,
88,failed,insufficient_duration
89,success,
90,failed,insufficient_duration
91,success,
92,success,
93,success,
94,success,
95,failed,insufficient_duration
96,success,
97,success,
98,success,
99,failed,insufficient_duration
100,failed,insufficient_duration
101,success,
102,failed,insufficient_duration
103,success,
104,success,
105,success,
106,failed,insufficient_duration
107,failed,insufficient_duration
108,success,
109,failed,insufficient_duration
110,success,
111,success,
112,success,
113,failed,insufficient_duration
114,success,
115,success,
116,success,
117,success,
118,success,
119,success,
120,failed,insufficient_duration
121,failed,insufficient_duration
122,failed,insufficient_duration
123,failed,insufficient_duration
124,success,
125,success,
126,success,
127,failed,insufficient_duration
128,success,
129,failed,insufficient_duration
130,success,
131,failed,insufficient_duration
132,success,
133,failed,insufficient_duration
134,failed,insufficient_duration
135,success,
136,success,
137,success,
138,success,
139,success,
140,success,
141,failed,insufficient_duration
142,success,
143,success,
144,failed,insufficient_duration
145,success,
146,success,
147,failed,insufficient_duration
148,success,
149,success,
150,success,
151,failed,insufficient_duration
152,success,
153,success,
154,failed,insufficient_duration
155,failed,insufficient_duration
156,success,
157,success,
158,failed,insufficient_duration
159,failed,insufficient_duration
160,success,
161,success,
162,failed,insufficient_duration
163,success,
164,success,
165,failed,insufficient_duration
166,success,
167,success,
168,success,
169,failed,insufficient_duration
170,failed,insufficient_duration
171,failed,insufficient_duration
172,success,
173,failed,insufficient_duration
174,failed,insufficient_duration
175,success,
176,failed,insufficient_duration
177,success,
178,success,
179,failed,insufficient_duration
180,success,
181,success,
182,failed,insufficient_duration
183,success,
184,success,
185,success,
186,success,
187,failed,insufficient_duration
188,failed,insufficient_duration
189,success,
190,success,
191,success,
192,failed,insufficient_duration
193,failed,insufficient_duration
194,failed,insufficient_duration
195,success,
196,failed,insufficient_duration
197,success,
198,success,
199,success,
200,success,
201,failed,insufficient_duration
202,success,
203,success,
204,failed,insufficient_duration
205,failed,insufficient_duration
206,success,
207,success,
208,success,
209,failed,insufficient_duration
210,success,
211,failed,insufficient_duration
212,failed,insufficient_duration
213,failed,insufficient_duration
214,failed,insufficient_duration
215,failed,insufficient_duration
216,failed,insufficient_duration
217,success,
218,success,
219,failed,insufficient_duration
220,failed,insufficient_duration
221,success,
222,success,
223,failed,insufficient_duration
224,failed,insufficient_duration
225,failed,insufficient_duration
226,failed,insufficient_duration
227,failed,insufficient_duration
228,failed,insufficient_duration
229,success,
230,success,
231,failed,insufficient_duration
232,success,
233,success,
234,success,
235,failed,insufficient_duration
236,success,
237,success,
238,failed,insufficient_duration
239,success,
240,failed,insufficient_duration
241,failed,too_much_missing_data
242,success,
243,success,
244,success,
245,failed,insufficient_duration
246,success,
247,success,
248,failed,insufficient_duration
249,failed,insufficient_duration
250,success,
251,success,
252,success,
253,failed,insufficient_duration
254,failed,insufficient_duration
255,failed,insufficient_duration
256,success,
257,failed,insufficient_duration
258,success,
259,failed,insufficient_duration
260,failed,insufficient_duration
261,success,
262,failed,insufficient_duration
263,success,
264,success,
265,failed,insufficient_duration
266,success,
267,failed,insufficient_duration
268,success,
269,success,
270,success,
271,failed,insufficient_duration
272,success,
273,failed,insufficient_duration
274,failed,insufficient_duration
275,failed,insufficient_duration
276,failed,insufficient_duration
277,failed,insufficient_duration
278,failed,insufficient_duration
279,success,
280,success,
281,success,
282,success,
283,success,
284,failed,insufficient_duration
285,failed,insufficient_duration
286,success,
287,success,
288,failed,insufficient_duration
289,failed,insufficient_duration
290,failed,insufficient_duration
291,failed,insufficient_duration
292,failed,insufficient_duration
293,success,
294,failed,insufficient_duration
295,success,
296,failed,insufficient_duration
297,success,
298,failed,insufficient_duration
299,failed,insufficient_duration
300,success,
