Feature,Importance,Rank,Cumulative
PP_extreme_ratio,0.19740934662675413,1,0.19740934662675413
DBP_violation_ratio,0.14142714796560296,2,0.3388364945923571
PP_violation_ratio,0.11770612521844488,3,0.45654261981080196
SBP_violation_ratio,0.1115369134763221,4,0.568079533287124
ABP_mean,0.0770802376686063,5,0.6451597709557303
MAP_violation_ratio,0.07456269412676157,6,0.7197224650824918
PP_mean,0.051901763705401414,7,0.7716242287878933
flatline_ratio,0.051455571509432946,8,0.8230798002973262
ABP_IQR,0.04308223527107583,9,0.866162035568402
saturation_ratio,0.04165401796521859,10,0.9078160535336206
negative_value_ratio,0.02401869167074506,11,0.9318347452043657
ABP_std,0.022099141615689103,12,0.9539338868200549
spike_ratio,0.011696712205811933,13,0.9656305990258668
ABP_max,0.009460568493340014,14,0.9750911675192068
ABP_range,0.008543272283447726,15,0.9836344398026545
PP_std,0.008504323504997852,16,0.9921387633076524
ABP_min,0.006105668828204995,17,0.9982444321358573
missing_ratio,0.001755567864142453,18,0.9999999999999998
PP_negative_ratio,1.1592408079061821e-16,19,0.9999999999999999
r_MAP,0.0,20,0.9999999999999999
